                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 1.5715,                 1.1097,                 1.2089,                0.45231,                0.31564,                0.29242,                0.10581,                  2.307,                 1.7369,                 1.1445,               0.001882,               0.001882,               0.001882
                     84,                 1.5553,                 1.0784,                 1.1985,                0.45383,                0.30726,                0.29075,                0.10673,                 2.3101,                  1.747,                  1.148,               0.001783,               0.001783,               0.001783
                     85,                 1.5528,                 1.0722,                 1.2029,                 0.4285,                0.29217,                0.27565,                0.09949,                 2.3503,                 1.7242,                 1.1642,               0.001684,               0.001684,               0.001684
                     86,                 1.5607,                 1.0852,                 1.2069,                0.45067,                0.29469,                0.28817,                0.09801,                 2.3851,                 1.7314,                  1.177,               0.001585,               0.001585,               0.001585
                     87,                 1.5491,                 1.0719,                 1.1876,                0.45158,                0.29888,                0.28892,                0.10019,                 2.3853,                 1.7273,                 1.1766,               0.001486,               0.001486,               0.001486
                     88,                 1.5445,                  1.075,                 1.1951,                0.47022,                0.28512,                0.27701,                0.09776,                 2.4007,                 1.7371,                 1.1923,               0.001387,               0.001387,               0.001387
                     89,                 1.5364,                 1.0525,                 1.1887,                0.49266,                0.28616,                0.27945,                0.09956,                 2.4066,                 1.7378,                 1.1957,               0.001288,               0.001288,               0.001288
                     90,                 1.5377,                 1.0419,                 1.1935,                0.45661,                0.28212,                0.27218,                0.09793,                 2.4252,                 1.7684,                 1.2098,               0.001189,               0.001189,               0.001189
                     91,                 1.5572,                 1.0429,                 1.2124,                0.47644,                0.26955,                0.26155,                0.09517,                 2.4613,                 1.7797,                  1.232,                0.00109,                0.00109,                0.00109
                     92,                  1.529,                 1.0002,                 1.2006,                0.49316,                0.26397,                0.26234,                0.09599,                 2.4644,                  1.753,                 1.2325,               0.000991,               0.000991,               0.000991
                     93,                 1.5146,                0.98154,                 1.1953,                0.46659,                0.26676,                0.25643,                0.09169,                 2.4743,                 1.7508,                 1.2292,               0.000892,               0.000892,               0.000892
                     94,                 1.4997,                0.96985,                 1.1844,                0.48597,                0.26536,                0.26468,                0.09141,                 2.4617,                  1.738,                 1.2236,               0.000793,               0.000793,               0.000793
                     95,                  1.493,                0.96001,                 1.1853,                0.46278,                0.29469,                0.27942,                0.09665,                 2.4602,                 1.7156,                 1.2199,               0.000694,               0.000694,               0.000694
                     96,                 1.4838,                0.95532,                 1.1742,                0.49679,                0.28492,                0.27991,                0.09805,                 2.4677,                 1.7243,                 1.2311,               0.000595,               0.000595,               0.000595
                     97,                 1.4783,                0.94409,                 1.1765,                0.48844,                0.28771,                0.28089,                0.09764,                 2.4662,                 1.7216,                 1.2342,               0.000496,               0.000496,               0.000496
                     98,                 1.4757,                0.93709,                 1.1758,                0.47291,                0.27793,                0.27226,                0.09511,                 2.4654,                 1.7341,                 1.2339,               0.000397,               0.000397,               0.000397
                     99,                 1.4671,                0.93031,                 1.1743,                0.47038,                0.27793,                0.27019,                 0.0926,                 2.4747,                 1.7574,                 1.2343,               0.000298,               0.000298,               0.000298
                    100,                 1.4595,                0.92744,                  1.171,                0.46526,                0.27933,                0.27246,                0.09244,                 2.4711,                 1.7605,                 1.2319,               0.000199,               0.000199,               0.000199
